,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5
5,01/04/2018 14:20,124.6803,9197.877,7.072608,2.239252,0.0,2.724607,1.826064,2523.282,6.712269,11.36166,6.96333,16.34765,0.01410551,4.0,0.002089908,4.149174e-05,0.000794228,0.002164933,0.000205487
6,01/04/2018 14:40,0.62908,28.911,5.238776,3.053391,0.0,2.89685,2.41691,2083.154,6.749579,11.47421,6.922658,15.58332,0.03111538,4.0,0.01410551,0.002089908,4.149174e-05,0.000794228,0.002164933
7,01/04/2018 15:00,2.024365,93.84505,3.445436,3.904165,0.0,2.963733,2.557492,1770.797,6.731111,11.5,6.856748,14.99632,0.04164362,4.0,0.03111538,0.01410551,0.002089908,4.149174e-05,0.000794228
8,01/04/2018 15:20,2.027922,75.11152,1.697771,4.718524,0.0,2.965032,2.689098,1564.738,6.730002,11.5,6.807285,14.69248,0.04622605,4.0,0.04164362,0.03111538,0.01410551,0.002089908,4.149174e-05
9,01/04/2018 15:40,2.761129,119.7015,0.4531219,5.491191,0.0,2.763872,2.841217,1065.139,6.730002,11.5,6.766416,15.10835,0.02923507,4.0,0.04622605,0.04164362,0.03111538,0.01410551,0.002089908
10,01/04/2018 19:40,212.3923,12004.42,3.287954,3.249276,0.0,2.937367,2.219269,2519.194,6.437518,11.5,6.868821,16.64939,0.007087073,4.0,0.02923507,0.04622605,0.04164362,0.03111538,0.01410551
11,01/04/2018 20:00,8.595419,477.9486,2.298963,3.921547,0.0,2.860307,2.49027,2041.646,6.691518,11.52148,6.867085,15.63971,0.02205089,4.0,0.007087073,0.02923507,0.04622605,0.04164362,0.03111538
12,01/04/2018 20:20,0.8798856,36.91592,0.6341647,4.751871,0.0,2.939092,2.783257,1353.752,6.672848,11.6,6.81636,14.80325,0.02071893,4.0,0.02205089,0.007087073,0.02923507,0.04622605,0.04164362
13,01/04/2018 20:40,2.909335,142.5967,0.03862116,5.392299,0.0,2.967736,2.738274,737.8954,6.660001,11.6,6.785377,14.02174,0.01022035,4.0,0.02071893,0.02205089,0.007087073,0.02923507,0.04622605
14,01/04/2018 21:00,3.620492,180.3594,0.0,5.567235,0.0,2.970408,3.075914,478.0945,6.660001,11.6,6.78,15.62931,0.004755769,4.0,0.01022035,0.02071893,0.02205089,0.007087073,0.02923507
15,02/04/2018 01:20,136.8363,9300.287,1.677184,2.760848,0.0,3.731017,2.034945,2519.194,5.121981,11.5,6.85254,17.32398,0.003548685,4.0,0.004755769,0.01022035,0.02071893,0.02205089,0.007087073
16,02/04/2018 01:40,65.15903,4384.889,0.9212322,3.55916,0.0,3.536601,2.312436,2328.515,5.464253,11.48955,6.839999,16.70553,0.01651875,4.0,0.003548685,0.004755769,0.01022035,0.02071893,0.02205089
17,02/04/2018 02:00,0.0,0.0,0.2349234,4.327415,0.0,3.45,2.786666,1114.764,5.465535,11.5,6.822813,15.52431,0.008602749,4.0,0.01651875,0.003548685,0.004755769,0.01022035,0.02071893
18,02/04/2018 02:20,0.3790445,19.75121,0.0,4.759215,0.0,3.450597,4.031604,633.5797,5.450163,11.5,6.809999,15.95503,0.003091543,4.0,0.008602749,0.01651875,0.003548685,0.004755769,0.01022035
19,02/04/2018 02:40,2.518707,154.8955,0.0,4.819073,0.0,3.451716,2.977365,393.1669,5.449098,11.49673,6.809999,19.43201,0.000254504,4.0,0.003091543,0.008602749,0.01651875,0.003548685,0.004755769
20,02/04/2018 12:40,295.292,33179.83,3.538246,1.592613,0.0,4.227058,0.9562821,2299.679,4.352105,11.6899,6.906411,19.09924,0.000519322,4.0,0.000254504,0.003091543,0.008602749,0.01651875,0.003548685
21,02/04/2018 13:00,203.2409,23301.94,6.600929,2.037195,0.0,3.773938,1.774295,2932.971,5.025115,11.85604,6.949998,18.05275,0.01441344,4.0,0.000519322,0.000254504,0.003091543,0.008602749,0.01651875
22,02/04/2018 13:20,159.1403,18361.06,7.838367,2.946225,0.0,3.477944,1.753322,2841.051,5.573243,12.01857,6.949998,17.15692,0.04833836,4.0,0.01441344,0.000519322,0.000254504,0.003091543,0.008602749
23,02/04/2018 13:40,0.750255,66.26019,7.725636,3.792704,0.0,3.32,2.18158,2460.413,5.702387,12.12598,6.930883,16.27115,0.08083911,4.0,0.04833836,0.01441344,0.000519322,0.000254504,0.003091543
24,02/04/2018 14:00,3.520475,345.8992,5.789327,4.765338,0.0,3.304672,2.25517,1774.886,5.690001,12.2,6.884252,15.84697,0.08705294,4.0,0.08083911,0.04833836,0.01441344,0.000519322,0.000254504
25,02/04/2018 14:20,3.392433,308.9479,3.861002,5.703677,0.0,3.311244,2.325802,1774.886,5.690001,12.2,6.845006,15.49972,0.1130138,4.0,0.08705294,0.08083911,0.04833836,0.01441344,0.000519322
26,02/04/2018 14:40,2.381285,201.2746,1.996167,6.646694,0.0,3.322928,2.616765,1616.69,5.684793,12.27565,6.808255,15.15251,0.114774,4.0,0.1130138,0.08705294,0.08083911,0.04833836,0.01441344
27,02/04/2018 15:00,3.777086,349.8094,0.4904316,7.555327,0.0,3.321353,2.821126,1280.055,5.689581,12.3,6.761392,16.0837,0.07354092,4.0,0.114774,0.1130138,0.08705294,0.08083911,0.04833836
28,02/04/2018 15:20,0.6577077,55.71578,0.0196189,8.221692,0.0,3.317131,1.734219,105.2251,5.68185,12.3,6.75,18.35548,0.002622412,4.0,0.07354092,0.114774,0.1130138,0.08705294,0.08083911
29,02/04/2018 18:20,68.20488,6713.063,0.1780163,6.302538,0.0,3.363104,1.778393,700.5424,4.023915,12.20889,6.771852,20.1546,0.00791286,4.0,0.002622412,0.07354092,0.114774,0.1130138,0.08705294
