,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
0,01/04/2018 04:40,0.579422,26.25534,0.0,2.746269,2.508134,3.597661,3.248471,318.5678,5.779999,10.6,6.88,17.69557,0.003748919836721885,5.0,0.02621025,0.008560079,0.006633108,2.049921e-05,0.002488991,-0.5870821196872986,1.0
1,01/04/2018 05:00,1.694746,68.05744,0.001335,3.089487,1.923383,3.602902,2.807562,218.5015,5.779999,10.6,6.88,18.42467,0.006524137,5.0,0.009079093,0.02621025,0.008560079,0.006633108,2.049921e-05,0.0,0.0
2,01/04/2018 09:00,177.5569,5645.427,2.393171,1.67625,0.5906586,3.639558,2.716785,1588.812,4.9879,10.51427,7.022841,18.06661,0.007176422591147211,5.0,0.006524137,0.009079093,0.02621025,0.008560079,0.006633108,0.7346945285520556,1.0
3,01/04/2018 09:20,189.3779,6750.83,2.821179,2.025293,0.8094066,3.115279,2.747038,1249.886,5.5168,10.5,6.947271,17.26873,0.00019315645154080018,5.0,0.004136995,0.006524137,0.009079093,0.02621025,0.008560079,-0.7485092669699469,1.0
4,01/04/2018 09:40,30.26662,1162.414,1.777822,2.333057,1.566053,3.148699,2.882944,1014.221,5.84697,10.5,6.957301,17.25653,0.002397279,5.0,0.000768046,0.004136995,0.006524137,0.009079093,0.02621025,0.0,0.0
5,01/04/2018 10:00,0.3792918,14.59524,0.0921305,2.621682,2.04,3.488433,3.667903,1014.221,5.836123,10.5,6.874715,17.09166,0.006364485,5.0,0.002397279,0.000768046,0.004136995,0.006524137,0.009079093,0.0,0.0
6,01/04/2018 10:20,0.0,0.0,0.0,2.966151,1.660102,3.441091,5.135739,428.2412,5.816522,10.5,6.868834,18.2917,0.003424628,5.0,0.006364485,0.002397279,0.000768046,0.004136995,0.006524137,0.0,0.0
7,01/04/2018 14:40,235.8916,14915.67,4.618344,1.864371,0.4007301,2.809102,2.352397,2523.282,5.169263,10.90518,6.990625,19.14287,0.002568949,5.0,0.003424628,0.006364485,0.002397279,0.000768046,0.004136995,0.0,0.0
8,01/04/2018 15:00,219.6687,12198.45,4.992034,2.009763,1.114013,2.900239,2.166965,1966.663,5.824455,11.0,7.052399,18.32199,0.006570469320710693,5.0,0.002568949,0.003424628,0.006364485,0.002397279,0.000768046,-0.6054677352877181,1.0
9,01/04/2018 15:20,1.562446,73.56254,2.68918,2.30788,1.943031,3.369442,2.527811,1877.427,6.04717,11.0,6.963136,17.80767,0.04580222,5.0,0.01665382,0.002568949,0.003424628,0.006364485,0.002397279,0.0,0.0
10,01/04/2018 15:40,0.8929569,38.83503,0.6063071,2.659816,2.704075,3.554486,2.823161,1192.298,6.032142,11.0,6.901171,17.76044,0.03959692,5.0,0.04580222,0.01665382,0.002568949,0.003424628,0.006364485,0.0,0.0
11,01/04/2018 20:20,165.6575,9239.252,5.338401,1.282678,0.5359875,3.581098,2.266505,2708.758,5.302036,11.1,7.047366,18.85466,0.004902337922376204,5.0,0.03959692,0.04580222,0.01665382,0.002568949,0.003424628,0.505854495819623,1.0
