Date,Influent_Tot,Influent_Bio,COD_in,Ntot_in
,m3/d,m3/d,gCOD/m^3,gN/m^3
03/12/2015,17316,15504,746,36.38253638
04/12/2015,17963,15965,,#NAME?
05/12/2015,15723,13440,660,37.7790498
06/12/2015,15491,13258,,#NAME?
07/12/2015,16704,14577,720,40.64894636
08/12/2015,16921,14899,,#NAME?
09/12/2015,33094,24187,791,37.9827159
10/12/2015,17758,15866,,#NAME?
11/12/2015,17146,14884,,#NAME?
12/12/2015,15401,13149,593,39.99740277
13/12/2015,15385,13252,901,36.13909652
14/12/2015,16052,13454,,#NAME?
15/12/2015,15433,12247,356,#NAME?
16/12/2015,32639,19678,,17.49440853
17/12/2015,25018,20193,438,32.53657367
18/12/2015,18781,15516,,#NAME?
19/12/2015,16543,13347,695,34.27431542
20/12/2015,15520,12469,,#NAME?
21/12/2015,16558,12635,930,38.22925474
22/12/2015,15152,10952,,#NAME?
23/12/2015,16352,12323,499,28.13111546
24/12/2015,15523,11535,,#NAME?
25/12/2015,15342,11344,1306,40.86820493
26/12/2015,13137,9255,,#NAME?
27/12/2015,13451,9922,490,34.94164003
28/12/2015,12795,9197,,#NAME?
29/12/2015,12880,9136,699,42.70186335
30/12/2015,14985,10947,699,43.71037704
31/12/2015,19337,14404,684,38.99260485
01/01/2016,13410,7547,,#NAME?
02/01/2016,38489,22775,,#NAME?
03/01/2016,27717,22281,286,23.63170617
04/01/2016,41247,29680,691,28.2202342
05/01/2016,24546,19568,,#NAME?
06/01/2016,19936,16361,,#NAME?
07/01/2016,40609,26037,246,18.29643675
08/01/2016,54759,32282,,#NAME?
09/01/2016,58362,33637,82,12.49100442
10/01/2016,45744,30775,,#NAME?
11/01/2016,46537,29948,159,16.09472033
12/01/2016,35513,27519,316,22.47064455
13/01/2016,24269,19776,,#NAME?
14/01/2016,23126,18264,575,28.32309954
15/01/2016,21157,16898,,#NAME?
16/01/2016,20252,16671,495,34.56448746
17/01/2016,18525,15124,,#NAME?
18/01/2016,18494,13160,590,36.11982265
19/01/2016,18836,11731,,#NAME?
20/01/2016,20748,13293,857,34.12377097
21/01/2016,20034,12671,,#NAME?
22/01/2016,19733,12431,,#NAME?
23/01/2016,30896,19404,472,24.08078716
24/01/2016,21510,13305,471,25.15109252
25/01/2016,23490,13725,,#NAME?
26/01/2016,22173,12533,553,28.72863392
27/01/2016,22974,12974,,#NAME?
28/01/2016,22794,12152,456,24.34851277
29/01/2016,23955,12581,,#NAME?
30/01/2016,39500,21265,,#NAME?
31/01/2016,66825,36810,82,15.95211373
01/02/2016,45644,28528,493,22.17158882
02/02/2016,30445,18988,,#NAME?
03/02/2016,57361,31013,,#NAME?
04/02/2016,39879,28330,200,17.7286291
05/02/2016,32682,21271,308,22.82602044
06/02/2016,24790,16460,,#NAME?
07/02/2016,22583,14250,576,28.07421512
08/02/2016,23606,14622,,#NAME?
09/02/2016,24797,14310,755,31.69738275
10/02/2016,21491,13081,,#NAME?
11/02/2016,19492,11213,487,26.01067104
12/02/2016,19860,12133,,#NAME?
13/02/2016,20087,11756,,#NAME?
14/02/2016,22513,13623,642,25.71847377
15/02/2016,26262,16456,,#NAME?
16/02/2016,19749,12576,,#NAME?
17/02/2016,18987,12088,649,35.28730184
18/02/2016,18617,11196,,#NAME?
19/02/2016,19971,12996,,#NAME?
20/02/2016,31201,20945,389,30.44774206
21/02/2016,19431,11342,,#NAME?
22/02/2016,18570,11149,,#NAME?
23/02/2016,37317,23349,303,19.05297854
24/02/2016,36144,21342,,#NAME?
25/02/2016,56014,32655,,#NAME?
26/02/2016,37478,23408,,#NAME?
27/02/2016,23696,12734,359,24.18129642
28/02/2016,21921,10964,,#NAME?
29/02/2016,44051,26501,,#NAME?
01/03/2016,42621,26856,170,14.52335703
02/03/2016,55235,32410,,#NAME?
03/03/2016,44095,27227,,#NAME?
04/03/2016,35148,20337,412,19.97268692
05/03/2016,59592,32158,,#NAME?
06/03/2016,42418,20875,,#NAME?
07/03/2016,29483,17848,258,19.87586067
08/03/2016,28212,17069,,#NAME?
09/03/2016,29281,16773,,#NAME?
10/03/2016,22271,9491,290,22.8099322
11/03/2016,22308,10796,,#NAME?
12/03/2016,20451,9187,,#NAME?
13/03/2016,20252,9347,,#NAME?
14/03/2016,22077,10780,,#NAME?
15/03/2016,29092,16198,551,29.04578578
16/03/2016,22126,10891,,#NAME?
17/03/2016,21779,11918,,#NAME?
18/03/2016,20482,10131,532,29.87989454
19/03/2016,18961,7853,,#NAME?
20/03/2016,19368,8495,,#NAME?
21/03/2016,19732,8986,822,33.85363876
22/03/2016,19095,9447,,#NAME?
