,Time [-],inflow_SB5 [l/s],NH4_load_SB5 [gN/h],NH4_SB5 [gN/m3],NO3_SB5 [gN/m3],NO2_SB5 [gN/m3],TS_SB5 [g/l],DO_SB5 [gO2/l],airflow_SB5 [m3/h],level_SB5 [m],temp_SB5 [°C],pH_SB5 [-],O2_Offgas_SB5 [%],N2O_SB5 [kgN/h]
0,01/04/2018 00:00,0.512635,21.07725,0.01262915,2.849255,1.46,-0.01,0.2741258,0.0,6.730002,10.5,6.839999,20.164,0.0
1,01/04/2018 00:20,0.3898103,15.88619,0.006529084,2.772809,1.46,-0.01,0.2810071,0.0,6.730002,10.5,6.840692,20.2757,0.0
2,01/04/2018 00:40,0.3790415,15.9583,0.00447675,2.69504,1.46,-0.01,0.3040861,0.0,6.730002,10.5,6.86,20.31104,0.0
3,01/04/2018 01:00,0.262245,11.73608,0.002003585,2.632669,1.46,-0.006826664,0.3248377,0.0,6.730002,10.5,6.86,20.47013,0.0
4,01/04/2018 01:20,0.246471,10.2956,0.000933335,2.536587,1.46,-0.01,0.345226,0.0,6.730002,10.5,6.86,20.50781,0.0
5,01/04/2018 01:40,0.2575073,11.8071,0.000471334,2.434695,1.224869,-0.01,0.3506461,0.0,6.714617,10.5,6.86,20.56123,0.0
6,01/04/2018 02:00,0.0,0.0,0.0,2.32846,0.95,-0.01,0.3814936,0.0,5.300644,10.5,6.86,20.42885,0.0
7,01/04/2018 02:20,0.0,0.0,0.0,2.179125,0.95,-0.01,0.3720909,0.0,4.097466,10.5,6.86,20.72728,0.0
8,01/04/2018 02:40,88.11115,4756.125,0.0,2.042467,0.95,0.00019725,0.3739821,0.0,3.997825,10.5,6.876842,20.70178,0.0
9,01/04/2018 03:00,231.1157,13562.55,5.286761,1.503109,0.089495,3.299219,0.8258618,1220.119,4.690347,10.5932,7.09146,19.7344,0.002488991
10,01/04/2018 03:20,185.062,10796.95,4.298547,1.195191,0.6775794,3.798789,2.647352,1844.673,5.105919,10.6,6.996747,18.84593,2.049921e-05
