,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr
0,01/04/2018 00:00,0.5156808,21.81474,0.0,3.494103,0.0,2.688885,1.246811,0.0,6.419999,10.6,6.739999,19.91183,0.0,6.0
1,01/04/2018 00:20,0.0,0.0,0.0,3.607379,0.0,0.6521913,0.2799233,0.0,6.419999,10.55956,6.739999,19.98059,0.0,6.0
2,01/04/2018 00:40,0.0,0.0,0.0,3.63,0.0,0.02,0.4399048,0.0,6.419068,10.5,6.739999,19.97051,0.0,6.0
3,01/04/2018 01:00,0.1292142,5.825346,0.0,3.693016,0.0,0.02,0.1002779,0.0,6.410001,10.5,6.739999,20.11818,0.0,6.0
4,01/04/2018 01:20,0.0,0.0,0.0,3.693967,0.0,0.02385417,0.0562913,0.0,6.410001,10.5,6.739999,20.44008,0.0,6.0
5,01/04/2018 01:40,0.0,0.0,0.0,3.625978,0.0,0.02,0.04256324,0.0,6.410001,10.5,6.739999,20.67765,0.0,6.0
6,01/04/2018 02:00,0.053196,1.905624,0.0,3.544292,0.0,0.02,0.06812565,0.0,6.40147,10.5,6.740545,20.64909,0.0,6.0
7,01/04/2018 02:20,0.0755935,3.84812,0.0,3.475287,0.0,0.02,0.05585208,0.0,6.400001,10.5,6.747243,20.71636,0.0,6.0
8,01/04/2018 02:40,0.1287892,5.654052,0.0,3.38495,0.0,0.02,0.05198916,0.0,6.381908,10.5,6.751106,20.83628,0.0,6.0
9,01/04/2018 03:00,0.0,0.0,0.0,3.315297,0.0,0.02362367,0.06383102,0.0,5.068314,10.5,6.752007,20.73537,0.0,6.0
10,01/04/2018 03:20,0.0,0.0,0.0,3.186942,0.0,0.03120817,0.05056259,0.0,4.41571,10.5,6.760001,20.76491,0.0,6.0
11,01/04/2018 03:40,170.7071,9812.687,0.0,3.021242,0.0,0.01647158,0.057133,0.0,4.354486,10.5,6.760001,20.88884,0.0,6.0
12,01/04/2018 04:00,132.2951,7545.034,0.353258,2.604066,0.0,0.2841763,0.7336506,1628.85,4.965688,10.54695,6.801049,19.74655,0.0,6.0
13,01/04/2018 04:20,142.1175,7833.502,1.78887,1.402102,0.0,3.67516,2.737991,1307.437,5.310107,10.66482,6.821326,17.47938,0.0,6.0
14,01/04/2018 04:40,160.3253,8203.568,1.660282,1.752109,0.0,3.347315,2.64388,1385.391,5.852285,10.66235,6.837525,17.14966,0.001151419,6.0
15,01/04/2018 05:00,0.1291434,4.356183,0.7067561,2.093075,0.0,3.327623,2.930235,1173.789,5.950903,10.60237,6.80799,17.30724,0.004453469,6.0
16,01/04/2018 05:20,0.0,0.0,0.0,2.453502,0.0,3.448012,4.013913,986.0623,5.930837,10.67074,6.78,17.23965,0.003982325,6.0
17,01/04/2018 05:40,0.8082158,28.57746,0.0,2.815116,0.0,3.415718,3.264457,197.5445,5.919999,10.69669,6.78,20.18705,9.911845e-05,6.0
18,01/04/2018 06:00,0.9651687,28.8866,0.0,3.090081,0.0,3.425552,2.659658,206.201,5.919999,10.61545,6.78,19.77387,0.000238761,6.0
19,01/04/2018 06:20,0.1290583,3.3024,0.0,3.281029,0.0,3.301063,1.250258,0.0,5.910574,10.61258,6.78,20.79766,0.0,6.0
20,01/04/2018 06:40,0.5072318,13.14154,0.0,3.271984,0.0,0.6651783,0.4681768,0.0,5.910001,10.62433,6.78,20.74976,0.0,6.0
21,01/04/2018 07:00,0.2577482,7.045814,0.0,3.259999,0.0,0.03,0.262916,0.0,5.910001,10.55866,6.78,20.91115,0.0,6.0
22,01/04/2018 07:20,0.257521,6.282574,0.0,3.259999,0.0,0.02232067,0.1919054,0.0,5.910001,10.52304,6.78,20.87511,0.0,6.0
23,01/04/2018 07:40,0.25806,6.856204,0.0,3.241301,0.0,0.024303,0.07472894,0.0,5.910001,10.53898,6.780852,20.77437,0.0,6.0
24,01/04/2018 08:00,0.0,0.0,0.0,3.167292,0.0,0.02,0.05193691,0.0,5.908458,10.50132,6.781911,20.91552,0.0,6.0
