,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,663.41,0.00100472222222222,0.704666666666667,2014-03-07 15:30:00,0.980666666666667,0.0218872391087352
1,2580.35,0.00099013888888889,0.0193333333333333,2014-03-07 15:45:00,1.02466666666667,0.0
2,2478.12,0.000975555555555556,0.0113333333333333,2014-03-07 16:00:00,1.964,0.0
3,2347.34,0.000960388888888888,0.02,2014-03-07 16:15:00,2.77133333333333,0.0
4,1875.17,0.0009405555555555541,0.342666666666667,2014-03-07 16:30:00,4.69066666666667,0.372054112001897
5,0.0,0.00091972222222222,1.69733333333333,2014-03-07 16:45:00,4.60266666666667,0.410502826070799
6,0.0,0.000941111111111125,2.23733333333333,2014-03-07 17:00:00,3.218,0.227665719505343
7,0.0,0.000999444444444458,1.90733333333333,2014-03-07 17:15:00,1.76666666666667,0.125260422113517
8,648.98,0.0010386111111111102,0.118,2014-03-07 17:30:00,0.952666666666667,0.0
9,2416.68,0.0010075000000000001,0.0313333333333333,2014-03-07 17:45:00,1.038,0.0
10,2187.7,0.000970000000000007,0.0346666666666667,2014-03-07 18:00:00,1.91533333333333,0.0
11,2227.46,0.000932500000000008,0.044,2014-03-07 18:15:00,3.15666666666667,0.0299001444401131
12,1827.57,0.0008950000000000041,0.762666666666666,2014-03-07 18:30:00,4.08933333333333,0.492161179833612
13,0.0,0.00087338888888889,1.97466666666667,2014-03-07 18:45:00,3.086,0.346868324633477
14,0.0,0.0008811111111111109,1.994,2014-03-07 19:00:00,1.73333333333333,0.148484819517311
15,0.0,0.000887111111111111,0.122,2014-03-07 19:15:00,0.904,0.0
16,700.31,0.000874444444444445,0.0246666666666667,2014-03-07 19:30:00,1.17733333333333,0.0
17,2494.19,0.000857777777777779,0.0346666666666667,2014-03-07 19:45:00,1.37666666666667,0.0
18,2341.27,0.000841111111111112,0.0293333333333333,2014-03-07 20:00:00,2.19866666666667,0.0
19,2448.06,0.000824444444444447,0.0273333333333333,2014-03-07 20:15:00,3.0,0.0133399606785984
20,1881.27,0.0008077777777777811,0.786,2014-03-07 20:30:00,4.29666666666667,0.504499738130822
21,0.0,0.000791111111111114,2.02933333333333,2014-03-07 20:45:00,3.486,0.347368890858658
22,0.0,0.0007746666666666699,2.20133333333333,2014-03-07 21:00:00,2.128,0.169472917330972
23,0.0,0.000763888888888891,0.412666666666667,2014-03-07 21:15:00,0.788,0.0030865851051693
24,588.0,0.000755555555555557,0.0466666666666667,2014-03-07 21:30:00,1.11,0.0
25,2228.11,0.000744333333333335,0.034,2014-03-07 21:45:00,1.38666666666667,0.0
26,2169.24,0.000727777777777778,0.018,2014-03-07 22:00:00,1.772,0.0
27,2078.8,0.000710333333333332,0.0286666666666667,2014-03-07 22:15:00,2.66333333333333,0.0
28,1640.19,0.000686666666666665,0.645333333333333,2014-03-07 22:30:00,4.206,0.439690018519248
29,0.0,0.0006616666666666639,2.198,2014-03-07 22:45:00,3.63066666666667,0.332414052679453
30,0.0,0.0006477777777777771,2.08666666666667,2014-03-07 23:00:00,2.288,0.19717954489822
31,0.0,0.0006436111111111111,0.692,2014-03-07 23:15:00,0.901333333333333,0.0133782464244717
32,556.0,0.0006394444444444451,0.0353333333333333,2014-03-07 23:30:00,1.17866666666667,0.0
33,2052.24,0.0006352777777777781,0.0313333333333333,2014-03-07 23:45:00,1.52466666666667,0.0
34,1824.09,0.000631777777777777,0.0206666666666667,2014-03-08 00:00:00,2.16333333333333,0.0
35,1947.82,0.0006452777777777729,0.0233333333333333,2014-03-08 00:15:00,1.46533333333333,0.0
36,1608.7,0.000666111111111109,0.478666666666667,2014-03-08 00:30:00,4.15466666666667,0.384014363472639
37,0.0,0.000675388888888889,2.18466666666667,2014-03-08 00:45:00,3.51533333333333,0.308880399221302
38,0.0,0.000663333333333334,2.072,2014-03-08 01:00:00,2.07133333333333,0.149376752272896
39,0.0,0.000650638888888888,0.254666666666667,2014-03-08 01:15:00,0.962,0.0
40,408.23,0.000636388888888888,0.044,2014-03-08 01:30:00,1.34,0.0
41,1644.22,0.0006218055555555539,0.0393333333333333,2014-03-08 01:45:00,1.57466666666667,0.0
42,1665.0,0.000607222222222219,0.034,2014-03-08 02:00:00,1.85333333333333,0.0
43,1714.21,0.0005926388888888851,0.0273333333333333,2014-03-08 02:15:00,2.45133333333333,0.0
44,1353.89,0.000583472222222223,0.114666666666667,2014-03-08 02:30:00,3.46533333333333,0.0922169456306801
45,0.0,0.000594166666666668,1.90266666666667,2014-03-08 02:45:00,3.828,0.347261505825585
46,0.0,0.000605888888888888,2.064,2014-03-08 03:00:00,2.36133333333333,0.205492266785493
47,0.0,0.000597777777777781,0.734666666666667,2014-03-08 03:15:00,1.04733333333333,0.0087141153051497
48,360.0,0.0005811111111111131,0.0413333333333333,2014-03-08 03:30:00,1.13266666666667,0.0
49,1386.7,0.0005630000000000021,0.0406666666666667,2014-03-08 03:45:00,1.396,0.0
50,1455.0,0.000542222222222223,0.0286666666666667,2014-03-08 04:00:00,1.936,0.0
51,1379.33,0.00052411111111111,0.0366666666666667,2014-03-08 04:15:00,2.42533333333333,0.0
52,1062.06,0.000527777777777778,0.877333333333333,2014-03-08 04:30:00,3.766,0.372455580689894
53,0.0,0.000536111111111112,2.126,2014-03-08 04:45:00,2.75266666666667,0.274085590454696
