,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,0.1380683,0.0,0.4583202,2018-01-04 00:00:00,0.0,0.0
1,0.5082791,0.0,0.5355636,2018-01-04 00:20:00,0.0,0.0
2,0.0,0.0,0.5913634,2018-01-04 00:40:00,0.0,0.0
3,0.2581874,0.0,0.6394857,2018-01-04 01:00:00,0.0,0.0
4,0.0,0.0,0.6825499,2018-01-04 01:20:00,0.0,0.0
5,11.04171,0.0,0.6889061,2018-01-04 01:40:00,0.0,0.0
6,256.2298,0.0,0.8952502,2018-01-04 02:00:00,0.5411639,0.0
7,174.9427,0.0,2.339267,2018-01-04 02:20:00,1.176849,0.0
8,182.4918,0.0,2.278127,2018-01-04 02:40:00,0.9432284,0.205487
9,0.37875,0.0,2.54754,2018-01-04 03:00:00,0.5237321,2.164933
10,1.137516,0.0,3.468566,2018-01-04 03:20:00,0.0,0.794228
11,0.1285484,0.0,3.771575,2018-01-04 03:40:00,0.0,0.04149174
12,1.267624,0.0,2.940261,2018-01-04 04:00:00,0.0,0.0
13,0.1286615,0.0,1.164922,2018-01-04 04:20:00,0.0,0.0
14,0.2578616,0.0,0.2532172,2018-01-04 04:40:00,0.0,0.0
15,0.3795235,0.0,0.3037635,2018-01-04 05:00:00,0.0,0.0
16,0.2572383,0.0,0.3524655,2018-01-04 05:20:00,0.0,0.0
17,0.129285,0.0,0.4105533,2018-01-04 05:40:00,0.0,0.0
18,0.3870758,0.0,0.5103138,2018-01-04 06:00:00,0.0,0.0
19,0.1290583,0.0,0.6041955,2018-01-04 06:20:00,0.0,0.0
20,0.0,0.0,0.6497288,2018-01-04 06:40:00,0.0,0.0
21,0.0,0.0,0.6890132,2018-01-04 07:00:00,0.0,0.0
22,0.0,0.0,0.709406,2018-01-04 07:20:00,0.0,0.0
23,177.066,0.0,0.7818401,2018-01-04 07:40:00,0.0820989,0.0
24,163.7632,0.0,2.3252,2018-01-04 08:00:00,0.21,0.0
25,154.3831,0.0,2.904327,2018-01-04 08:20:00,0.0629545,0.0
26,33.06064,0.0,3.727856,2018-01-04 08:40:00,0.0,0.0
27,0.2999375,0.0,6.108308,2018-01-04 09:00:00,0.0,0.0
28,1.216164,0.0,7.111799,2018-01-04 09:20:00,0.0,0.0
29,0.3861128,0.0,4.490256,2018-01-04 09:40:00,0.0,0.0
30,0.0,0.0,2.98585,2018-01-04 10:00:00,0.0,0.0
31,0.0,0.0,3.126119,2018-01-04 10:20:00,0.0,0.0
32,0.1700851,0.0,2.417577,2018-01-04 10:40:00,0.0,0.0
33,0.2164952,0.0,1.572411,2018-01-04 11:00:00,0.0,0.0
34,0.2595618,0.0,1.278155,2018-01-04 11:20:00,0.0,0.0
35,0.2575783,0.0,1.357229,2018-01-04 11:40:00,0.0,0.0
36,0.0,0.0,1.054451,2018-01-04 12:00:00,0.0,0.0
37,0.0,0.0,0.9990003,2018-01-04 12:20:00,0.0,0.0
38,0.0,0.0,1.035153,2018-01-04 12:40:00,0.0,0.0
39,0.9267094,0.0,1.040374,2018-01-04 13:00:00,0.0,0.0
40,166.0488,0.0,2.008048,2018-01-04 13:20:00,0.0,0.0
41,485.1461,0.0,0.8244497,2018-01-04 13:40:00,2.568374,0.0
42,370.2091,0.0,1.802058,2018-01-04 14:00:00,6.444674,2.0899080000000003
43,124.6803,0.0,1.826064,2018-01-04 14:20:00,7.072608,14.10551
44,0.62908,0.0,2.41691,2018-01-04 14:40:00,5.238776,31.115380000000002
45,2.024365,0.0,2.557492,2018-01-04 15:00:00,3.445436,41.64362
46,2.027922,0.0,2.689098,2018-01-04 15:20:00,1.697771,46.22605
47,2.761129,0.0,2.841217,2018-01-04 15:40:00,0.4531219,29.235069999999997
48,0.379355,0.0,0.7304837,2018-01-04 16:00:00,0.0,0.0
49,0.2576917,0.0,0.2111458,2018-01-04 16:20:00,0.0,0.0
50,0.3792867,0.0,0.3087695,2018-01-04 16:40:00,0.0,0.0
51,0.3642915,0.0,0.423856,2018-01-04 17:00:00,0.0,0.0
52,0.1433842,0.0,0.5333016,2018-01-04 17:20:00,0.0,0.0
53,0.1290158,0.0,0.6458727,2018-01-04 17:40:00,0.0,0.0
54,0.515709,0.0,0.7803465,2018-01-04 18:00:00,0.0,0.0
55,0.0,0.0,0.7453766,2018-01-04 18:20:00,0.0,0.0
56,0.0,0.0,0.7729098,2018-01-04 18:40:00,0.0,0.0
57,363.9573,0.0,0.8281024,2018-01-04 19:00:00,0.7059845,0.0
58,313.5509,0.0,1.962178,2018-01-04 19:20:00,2.884564,0.0
59,212.3923,0.0,2.219269,2018-01-04 19:40:00,3.287954,7.087073
60,8.595419,0.0,2.49027,2018-01-04 20:00:00,2.298963,22.05089
61,0.8798856,0.0,2.783257,2018-01-04 20:20:00,0.6341647,20.71893
62,2.909335,0.0,2.738274,2018-01-04 20:40:00,0.03862116,10.22035
63,3.620492,0.0,3.075914,2018-01-04 21:00:00,0.0,4.755769
64,0.3860841,0.0,1.648774,2018-01-04 21:20:00,0.0,0.0
65,0.3873593,0.0,0.4333144,2018-01-04 21:40:00,0.0,0.0
66,0.1285767,0.0,0.375231,2018-01-04 22:00:00,0.0,0.0
67,0.2811092,0.0,0.4199461,2018-01-04 22:20:00,0.0,0.0
68,0.2344442,0.0,0.5295126,2018-01-04 22:40:00,0.0,0.0
69,0.3858722,0.0,0.6380087,2018-01-04 23:00:00,0.0,0.0
70,0.3864245,0.0,0.7028593,2018-01-04 23:20:00,0.0,0.0
71,0.0,0.0,0.7622273,2018-01-04 23:40:00,0.0,0.0
72,0.0,0.0,0.789056,2018-02-04 00:00:00,0.0,0.0
73,0.129214,0.0,0.8086119,2018-02-04 00:20:00,0.0,0.0
74,177.833,0.0,0.8185682,2018-02-04 00:40:00,0.1991037,0.0
75,197.4335,0.0,1.602402,2018-02-04 01:00:00,1.514901,0.0
76,136.8363,0.0,2.034945,2018-02-04 01:20:00,1.677184,3.5486850000000003
77,65.15903,0.0,2.312436,2018-02-04 01:40:00,0.9212322,16.518749999999997
78,0.0,0.0,2.786666,2018-02-04 02:00:00,0.2349234,8.602749
79,0.3790445,0.0,4.031604,2018-02-04 02:20:00,0.0,3.091543
80,2.518707,0.0,2.977365,2018-02-04 02:40:00,0.0,0.254504
81,0.8871242,0.0,2.001978,2018-02-04 03:00:00,0.0,0.0
82,0.128506,0.0,0.3309273,2018-02-04 03:20:00,0.0,0.0
83,0.257819,0.0,0.2726107,2018-02-04 03:40:00,0.0,0.0
84,0.2579752,0.0,0.3817135,2018-02-04 04:00:00,0.0,0.0
85,0.0,0.0,0.483035,2018-02-04 04:20:00,0.0,0.0
86,0.2581592,0.0,0.5969455,2018-02-04 04:40:00,0.0,0.0
87,0.3864244,0.0,0.6935713,2018-02-04 05:00:00,0.0,0.0
88,0.2574645,0.0,0.7479628,2018-02-04 05:20:00,0.0,0.0
89,0.0,0.0,0.7663281,2018-02-04 05:40:00,0.0,0.0
90,0.12903,0.0,0.79,2018-02-04 06:00:00,0.0,0.0
91,11.74797,0.0,0.8003045,2018-02-04 06:20:00,0.0,0.0
92,221.0477,0.0,1.264271,2018-02-04 06:40:00,0.1319263,0.0
93,121.9479,0.0,2.541383,2018-02-04 07:00:00,0.6131366,0.0
94,104.5608,0.0,2.829895,2018-02-04 07:20:00,0.0693825,0.0
95,0.0,0.0,4.242599,2018-02-04 07:40:00,0.0,0.0
96,0.2643435,0.0,6.260331,2018-02-04 08:00:00,0.0,0.0
97,0.3725833,0.0,5.294065,2018-02-04 08:20:00,0.0,0.0
98,0.0,0.0,2.710672,2018-02-04 08:40:00,0.0,0.0
99,0.1289733,0.0,1.427229,2018-02-04 09:00:00,0.0,0.0
100,0.352552,0.0,1.203789,2018-02-04 09:20:00,0.0,0.0
101,0.1661325,0.0,0.680346,2018-02-04 09:40:00,0.0,0.0
102,0.3798535,0.0,0.7067986,2018-02-04 10:00:00,0.0,0.0
103,0.6466231,0.0,0.5993069,2018-02-04 10:20:00,0.0,0.0
104,0.2923825,0.0,0.3532133,2018-02-04 10:40:00,0.0,0.0
105,0.4601503,0.0,0.4443632,2018-02-04 11:00:00,0.0,0.0
106,0.3947268,0.0,0.5835046,2018-02-04 11:20:00,0.0,0.0
107,0.0,0.0,0.6525056,2018-02-04 11:40:00,0.002552835,0.0
108,1.529338,0.0,1.180053,2018-02-04 12:00:00,0.002395585,0.0
